Organization Name,Description,Parent Organization,Status,Contact Name,Contact Email,Industry,Technologies,Website URL,Phone Number,Country,State,City,Address 1,Address 2,Currency,Language,ZIP or Postal Code,TAX ID,VAT Number,Notes,Average Revenue,Cloud Vendor,Technology Vendor,System Vendor,Service Vendor
National Alliance for Insurance Education & Research,The National Alliance for Insurance Education & Research provides continuing education and designation classes for insurance and risk management professionals.,,Active,,,,,https://www.scic.com/,(800) 633-2165,United States,Texas,Austin,,,Dollars,English,,,,,,NO,NO,YES,NO
National Association Of Insurance Commissioners (NAIC),The National Association of Insurance Commissioners (NAIC) is a nonprofit organization that helps develop model laws for state insurance regulators.,,,,,,,,,,,,,,,,,,,,,NO,NO,YES,NO
National Commerical Services (NCS),National Commercial Services is an experienced Subrogation and Commercial Collection Agency.,,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
National Insurance Crime Bureau (NICB),"The NICB is the nation’s leading non-profit organization exclusively dedicated to preventing, detecting and defeating insurance fraud and vehicle theft through information analysis, investigations, training and public awareness. ",,Active,,,,,,800.447.6282,United States,Illinois,Des Plaines,"1111 E. Touhy Ave., Ste. 400",,Dollars,English,60018,,,,,NO,NO,YES,NO
National Subrogation Service,"National Subrogation Services (NSS) founded in 2000 and headquartered in Woodbury, New York, is a subrogation and recovery firm.",,,,,Finance and Insurance,,,,,,,,,,,,,,,,NO,NO,YES,NO
Northern Trust,"Founded in 1889, Northern Trust is headquartered in Chicago, Illinois. They provide financial services including asset servicing, investment management, wealth management, and more.",,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
Open Source,"Open-source software is computer software that is released under a license in which the copyright holder grants users the rights to use, study, change, and distribute the software and its source code to anyone and for any purpose. Open-source software may be developed in a collaborative public manner.",,,,,Information,,,,,,,,,,,,,,,,NO,YES,YES,NO
Open Text,OpenText Corporation is a Canadian company that develops and sells enterprise information management software.,,,,,,,,,Canada,Alberta,,,,,,,,,,,NO,NO,YES,NO
Oracle Corporation,"Oracle Corporation is an American multinational computer technology corporation headquartered in Redwood Shores, California. The company sells database software and technology, cloud engineered systems, and enterprise software products—particularly its own brands of database management systems.",,Active,,,,OracleMySQL,,,United States,California,Redwood City,,,Dollars,English,,,,,,NO,YES,NO,NO
PayPal,"PayPal, founded in 1998, operates as a technology platform company that enables digital and mobile payments on behalf of consumers and merchants worldwide.",,Active,,,,,,888-883-9770,United States,,,,,Dollars,English,,,,,,NO,NO,YES,NO
PostgreSQL Global Development Group Regents of the University of California,Open Source Database Publisher,,,,,,,,,,,,,,Dollars,English,,,,,,NO,YES,NO,NO
QQ Solutions,QQSolutions is the leading provider of cloud-based agency management systems for independent insurance agencies nationwide.,,Active,,,,,,,United States,Florida,Deerfield Beach,350 Fairway Dr #101,,Dollars,English,33441,,,,,YES,NO,YES,NO
Raymond James,"A diversified financial services firm, focused on providing trusted advice and tailored, sophisticated solutions for individuals and institutions.",,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
Real VNC,RealVNC is the global provider of VNC remote access technology.,,Active,,,,,,,United Kingdom,Cambridgeshire,,Betjeman House 104 Hills Road  Cambridge,,Dollars,English,CB2 1LQ,,,,,NO,NO,YES,NO
Red Hat,"Red Hat, Inc. is an American multinational software company that provides open source software products to enterprises. Founded in 1993, Red Hat has its corporate headquarters in Raleigh, North Carolina, with other offices worldwide. It became a subsidiary of IBM on July 9, 2019.",,,,,Information,,,,,,,,,,,,,,,,NO,YES,YES,NO
Sage,"The Sage Group plc, commonly known as Sage, is a British multinational enterprise software company based in Newcastle upon Tyne, England. The world's third-largest supplier of enterprise resource planning software (behind Oracle and SAP).",,,,,,,,,,,,,,,,,,,,,NO,NO,YES,NO
Salesforce.com,CRM Cloud Service Provider,,Active,,,Information,,,,,,,,,Dollars,English,,,,,,YES,YES,YES,YES
SAP SE,"SAP established the global standard for enterprise resource planning (ERP) software. Now, SAP S/4HANA takes ERP to the next level by using the power of in-memory computing to process vast amounts of data, and to support advanced technologies such as artificial intelligence (AI) and machine learning. The company’s integrated applications connect all parts of a business into an intelligent suite on a fully digital platform, thereby replacing the process-driven, legacy platform.",,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
Talent Nest,Online Recruiting,,Active,,,,,,,Canada,,,"3300 Bloor Street West Suite 650 Toronto, ON",,,English,M8X 2X2,,,,,YES,NO,YES,NO
Temenos (formerly Avoka),"
Temenos, headquartered in Geneva, Switzerland, is a financial software company that uses advanced cloud-native, AI, and API-first technology for the richest front-to-back banking services.",,,,,,,,,,,,,,,,,,,,,NO,YES,NO,NO
"Torrent Technologies, Inc.","Torrent Technologies, Inc., a Marsh company and a servicing agent for Write Your Own (WYO) carriers and the National Flood Insurance Program (NFIP), provides insurers and their agents with sophisticated cloud-based technology solutions and back-office services.",,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
Ultimate Software Group,"Ultimate provides HCM solutions designed to improve the employee experience by putting people first—HR, payroll, talent, time and scheduling, engagement surveys, HR service delivery, and more.",,Active,,,,,,,United States,Florida,Weston,Ultimate Software 2000 Ultimate Way,,Dollars,English,33326,,,,,YES,NO,YES,NO
Universal Engineering Sciences,"Universal Engineering Sciences, a family-owned team providing geotechnical, environmental, construction material testing & building code compliance services.",,Active,,,,,https://universalengineering.com,(888) 824-7424,United States,Florida,Tampa,9802 Palm River Road,,Dollars,English,33619,,,,,YES,NO,YES,NO
University of Colorado Health (UCHealth),"UCHealth is a not-for-profit health care system, headquartered in Aurora, Colorado. The system includes hospitals and facilities throughout Colorado, along with affiliated hospitals in Wyoming and Nebraska.",,Active,,,,,,,United States,Colorado,,,,Dollars,English,,,,,,YES,NO,YES,NO
US Bank Pivot,Online client portal of U.S. Bank,,Active,,,,,,,United States,,,,,Dollars,English,,,,,,NO,NO,YES,NO
USPS,"The United States Postal Service is an independent agency of the executive branch of the United States federal government responsible for providing postal service in the United States, including its insular areas and associated states.",,,,,,,,,,,,,,,,,,,,,NO,NO,YES,NO
Verizon,,,,,,,,,,,,,,,,,,,,,,NO,NO,YES,NO
WEX,"Established in 1983, WEX Inc. is a provider of payment processing and information management services to the United States commercial and government vehicle fleet industry.",,Active,,,,,,1-207-773-8171,United States,Maine,Portland,1 Hancock Street,,Dollars,English,4101,,,,,NO,NO,YES,NO
WPC,"Policy administration system, developed in house. ",,,,,,,,,,,,,,,,,,,,,NO,NO,YES,NO
Xactware,Xactware Solutions provides computer software solutions for professionals involved in estimating all phases of building and repair.,,Active,,,,,,,United States,Utah,,Otem,,Dollars,English,,,,,,YES,NO,YES,YES
Zywave (formerly ITC),"Zywave leads the insurance tech industry, fueling business growth for the partners with the most expansive portfolio of cloud-based sales management, client delivery, content and analytics solutions. ",,,,,,,,,,,,,,,,,,,,,YES,NO,YES,NO
