Constant,Scope,Value,Default Value
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$ITEM_NAME,SERVER,Оценка Владельца Системы,System Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$OWNERSHIP_HEADER,SERVER,Собственность,Ownership
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$IMPACT_HEADER,SERVER,Воздействие,Impact
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$LIKELIHOOD_HEADER,SERVER,Вероятность,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,НАЗНАЧЕНИЕ,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$OWNER_OWNERSHIP,SERVER,ВЛАДЕЛЕЦ,OWNER
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$ITEM_NAME,SERVER,Вендоры,Vendors
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$ITEM_NAME,SERVER,Оценка Владельца Вендора,Vendor Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$OWNERSHIP_HEADER,SERVER,Собственность,Ownership
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$IMPACT_HEADER,SERVER,Воздействие,Impact
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$LIKELIHOOD_HEADER,SERVER,Вероятность,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,НАЗНАЧЕНИЕ,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$OWNER_OWNERSHIP,SERVER,ВЛАДЕЛЕЦ,OWNER
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$ITEM_NAME,SERVER,Облако,Cloud
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$ITEM_NAME,SERVER,Оценка Владельца Облака,Cloud Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$OWNERSHIP_HEADER,SERVER,Собственность,Ownership
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$IMPACT_HEADER,SERVER,Воздействие,Impact
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$LIKELIHOOD_HEADER,SERVER,Вероятность,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,НАЗНАЧЕНИЕ,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$OWNER_OWNERSHIP,SERVER,ВЛАДЕЛЕЦ,OWNER
DASHBOARDS$VENDOR$NAME,SERVER,Дашборд Вендора,Vendor Dashboard
DASHBOARDS$VENDOR$DESCRIPTION,SERVER,Показывает риски вендора и оценки,Displays the vendor exposures and scores
DASHBOARDS$VENDOR$CYBER_RISK$ITEM_NAME,SERVER,Оценка Кибер Рисков,Cyber Risk Scores
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$ITEM_NAME,SERVER,Сводная Оценка Кибер Рисков Вендора,Vendor Cyber Risk Scoring Summary
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$X_AXIS,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$Y_AXIS,SERVER,Счет,Score
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$THRESHOLD,SERVER,Порог Кибер Риска,Cyber Risk Threshold
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$ITEM_NAME,SERVER,Оценка Кибер Рисков Вендора,Vendor Cyber Risk Scores
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$SCORE_HEADER,SERVER,Счет,Score
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$IMPACT_WEIGHT_HEADER,SERVER,Вес Воздействия,Impact Weight
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$IMPACT_TOTAL_HEADER,SERVER,Общее Воздействие,Impact Total
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$LIKELIHOOD_WEIGHT_HEADER,SERVER,Вес Вероятности,Likelihood Weight
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$LIKELIHOOD_TOTAL_HEADER,SERVER,Общая Вероятность,Likelihood Total
DASHBOARDS$VENDOR$CYBER_EXPOSURES$ITEM_NAME,SERVER,Кибер Риски,Cyber Exposures
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$ITEM_NAME,SERVER,Уязвимости Вендора,Vendor Exposures
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$VENDOR_TYPE_HEADER,SERVER,Тип Вендора,Vendor Type
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$DATA_EXFILTRATION_HEADER,SERVER,Эксфильтрация Данных,Data Exfiltration
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$BUSINESS_INTERRUPTION_HEADER,SERVER,Прерывания Бизнеса,Business Interruption
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$GDRP_REGULATORY_EXPOSURE_HEADER,SERVER,GDPR Регуляторная Уязвимость,GDPR Regulatory Exposure
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$TOTAL_EXPOSURE_HEADER,SERVER,Общее воздействие,Total Exposure
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$CLOUD_VENDOR_TYPE,SERVER,Облачный Вендор,Cloud Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$SERVICE_VENDOR_TYPE,SERVER,Вендор Услуг,Service Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$TECHNOLOGY_VENDOR_TYPE,SERVER,Вендор Технологий,Technology Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$SYSTEM_VENDOR_TYPE,SERVER,Вендор Систем,System Vendor
DASHBOARDS$VENDOR$HEAT_MAP$ITEM_NAME,SERVER,Тепловая Карта,Heat Map
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$ITEM_NAME,SERVER,Тепловая Карта Вендора,Vendor Heat Map
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$X_AXIS,SERVER,Вероятность,Likelihood
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$Y_AXIS,SERVER,Воздействие,Impact
DASHBOARDS$VENDOR$HEAT_MATRIX$ITEM_NAME,SERVER,Тепловая Матрица,Heat Matrix
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$ITEM_NAME,SERVER,Тепловая Матрица Вендора,Vendor Heat Matrix
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_NONE_HEADER,SERVER,Ни Один,None
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_MINOR_HEADER,SERVER,Незначительно,Minor
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_CRUCIAL_HEADER,SERVER,Важно,Crucial
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_CRITICAL_HEADER,SERVER,Критически,Critical
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_DISASTROUS_HEADER,SERVER,Бедственно,Disastrous
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_IMPROBABLE_HEADER,SERVER,Невероянто,Improbable
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_SELDOM_HEADER,SERVER,Редко,Seldom
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_OCCASIONAL_HEADER,SERVER,Случайно,Occasional
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_LIKELY_HEADER,SERVER,Вероятно,Likely
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_FREQUENT_HEADER,SERVER,Часто,Frequent
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$VENDOR_CYBER_RISK_HEADER,SERVER,Кибер Риск Вендора,Vendor Cyber Risk
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_HEADER,SERVER,Вероятность,Likelihood
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_HEADER,SERVER,Воздействие,Impact
DASHBOARDS$VENDOR$IMPACT$ITEM_NAME,SERVER,Оценка Воздействия,Impact Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$ITEM_NAME,SERVER,Оценка Воздействия Вендора,Impact Vendor Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$X_AXIS,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$Y_AXIS,SERVER,Счет,Score
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$THRESHOLD,SERVER,Порог Воздействия,Impact Threshold
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$ITEM_NAME,SERVER,Оценка Воздействия Вендора,Impact Vendor Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$SCORE_HEADER,SERVER,Счет,Score
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$WEIGHT_HEADER,SERVER,Вес,Weight
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$TOTAL_WEIGHT_HEADER,SERVER,Общий Вес,Total Weight
DASHBOARDS$VENDOR$LIKELIHOOD$ITEM_NAME,SERVER,Оценка Вероятности,Likelihood Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$ITEM_NAME,SERVER,Оценка Вероятности Вендора,Likelihood Vendor Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$X_AXIS,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$Y_AXIS,SERVER,Счет,Score
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$THRESHOLD,SERVER,Порог Вероятности,Likelihood Threshold
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$ITEM_NAME,SERVER,Оценка Вероятности Вендора,Likelihood Vendor Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$VENDOR_HEADER,SERVER,Вендор,Vendor
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$SCORE_HEADER,SERVER,Счет,Score
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$WEIGHT_HEADER,SERVER,Вес,Weight
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$TOTAL_WEIGHT_HEADER,SERVER,Общий Вес,Total Weight
DASHBOARDS$VENDOR_STATUS$NAME,SERVER,Статус Вендора,Vendor Status
DASHBOARDS$VENDOR_STATUS$DESCRIPTION,SERVER,Дашборд Статуса Вендора,Vendor Status Dashboard
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$ITEM_NAME,SERVER,Типы Вендоров,Vendor Types
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$ITEM_DESCRIPTION,SERVER,Показывает всех поставщиков по типу и владельцу,Displays all the vendors by type and owner
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$ITEM_NAME,SERVER,Статусы Вендоров,Vendor Statuses
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$PERSON_HEADER,SERVER,Персона,Person
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$VENDOR_NAME_HEADER,SERVER,Имя Вендора,Vendor Name
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$CLOUD_HEADER,SERVER,Облако,Cloud
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$BUSINESS_UNIT_HEADER,SERVER,Бизнес-единица,Business Unit
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$TECHNOLOGY_HEADER,SERVER,Является ли Вендором Технологий?,Is Technology?
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$SYSTEM_HEADER,SERVER,Является ли Вендором Систем?,Is System?
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$SERVICE_HEADER,SERVER,Является ли Вендором Услуг?,Is Service?
DASHBOARDS$VENDOR_SELF_ASSESSMENT$NAME,SERVER,Самооценка Вендора,Vendor Self Assessment
DASHBOARDS$VENDOR_SELF_ASSESSMENT$DESCRIPTION,SERVER,Показывает Результат Анкетирования Вендоров,Displays the vendors questionnaire results
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SERVICE_PROVIDER$ITEM_NAME,SERVER,Поставщик Услуг,Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SERVICE_PROVIDER$ITEM_DESCRIPTION,SERVER,Поставщик Услуг,Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SYSTEM_TECHNOLOGY_PROVIDER$ITEM_NAME,SERVER,Системный/Технологический Поставщик,System/Technology Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SYSTEM_TECHNOLOGY_PROVIDER$ITEM_DESCRIPTION,SERVER,Системный/Технологический Поставщик,System/Technology Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$CLOUD_SERVICE_PROVIDER$ITEM_NAME,SERVER,Поставщик Облачных Услуг,Cloud Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$CLOUD_SERVICE_PROVIDER$ITEM_DESCRIPTION,SERVER,Поставщик Облачных Услуг,Cloud Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$ITEM_NAME,SERVER,Общий Счет,Total Score
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$QUESTION_HEADER,SERVER,Вопрос,Question
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$MARK_HEADER,SERVER,Балл,A
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$SCORE_HEADER,SERVER,Счет,Score
DASHBOARDS$CYBER_INSURANCE$NAME,SERVER,Киберстрахование,Cyber Insurance
DASHBOARDS$CYBER_INSURANCE$DESCRIPTION,SERVER,Показывает совокупные лимиты и сублимиты. Выявляет чрезвычайные риски,Displays aggregate limits and sublimits. Identifies extraordinary exposures
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$ITEM_NAME,SERVER,Совокупный Лимит,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$TABLE$AGGREGATE_LIMIT_HEADER,SERVER,Совокупный Лимит,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$ITEM_NAME,SERVER,Совокупный Лимит,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$RECORD_COUNT_HEADER,SERVER,Количество Записей,Record Count
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$DATA_EXFILTRATION_HEADER,SERVER,Эксфильтрация Данных,Data Exfiltration
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$AGGREGATE_LIMIT_HEADER,SERVER,Совокупный Лимит,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$ITEM_NAME,SERVER,Сублимит Прерывания Бизнеса,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$TABLE$BUSINESS_INTERRUPTION_HEADER,SERVER,Сублимит Прерывания Бизнеса,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$ITEM_NAME,SERVER,Сублимит Прерывания Бизнеса,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$BUSINESS_INTERRUPTION_HEADER,SERVER,Сублимит Прерывания Бизнеса,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$ITEM_NAME,SERVER,Сублимит Кибер Вымогательства,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$TABLE$CYBER_EXTORTION_HEADER,SERVER,Сублимит Кибер Вымогательства,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$ITEM_NAME,SERVER,Сублимит Кибер Вымогательства,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$RANSOMWARE_HEADER,SERVER,Вымогатель,Ransomware
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$ITEM_NAME,SERVER,Сублимит GDPR,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$TABLE$GDPR_PRIVACY_HEADER,SERVER,Сублимит GDPR,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$ITEM_NAME,SERVER,Сублимит GDPR,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$GDPR_REGULATORY_LOSS_HEADER,SERVER,Регуляторный GDPR Убыток,GDPR Regulatory Loss
DASHBOARDS$CYBER_INSURANCE$PRIVACY$ITEM_NAME,SERVER,Сублимит Конфиденциальности,Privacy Sub-limit
DASHBOARDS$CYBER_INSURANCE$PRIVACY$TABLE$GDPR_PRIVACY_HEADER,SERVER,Сублимит Конфиденциальности,Privacy Sub-limit
DASHBOARDS$CYBER_INSURANCE$PRIVACY$GRID$ITEM_NAME,SERVER,Сублимит Конфиденциальности,Privacy Sub-limit
DASHBOARDS$CYBER_INSURANCE$PRIVACY$GRID$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$CYBER_INSURANCE$PRIVACY$GRID$GDPR_REGULATORY_LOSS_HEADER,SERVER,Регуляторный Убыток,Regulatory Loss
DASHBOARDS$ORGANIZATION$NAME,SERVER,Дашборд Цифрового Актива,Digital Asset Dashboard
DASHBOARDS$ORGANIZATION$DESCRIPTION,SERVER,Показывет Кибер Воздействия и Оценки,Displays cyber exposures and scores
DASHBOARDS$ORGANIZATION$CYBER_RISK$ITEM_NAME,SERVER,Оценка Кибер Рисков,Cyber Risk Scores
DASHBOARDS$ORGANIZATION$CYBER_RISK$SUMMARY_SCORES$ITEM_NAME,SERVER,Сводка Результатов,Summary Scores
DASHBOARDS$ORGANIZATION$CYBER_RISK$SUMMARY_SCORES$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$ITEM_NAME,SERVER,Кибер Риски,Cyber Exposures
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$DATA_EXFILTRATION_HEADER,SERVER,Эксфильтрация Данных,Data Exfiltration
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$BUSINESS_INTERRUPTION_HEADER,SERVER,Прерывания Бизнеса,Business Interruption
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$GDRP_REGULATORY_EXPOSURE_HEADER,SERVER,GDPR Регуляторная Уязвимость,GDPR Regulatory Exposure
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$TOTAL_EXPOSURE_HEADER,SERVER,Общее воздействие,Total Exposure
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$ITEM_NAME,SERVER,Сводка Воздействия,Exposure Summary
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$ITEM_NAME,SERVER,Сводка Кванта Кибер Страхования,Cyber Insurance Quantification Summary
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$QUANTIFICATION_METRIC_HEADER,SERVER,Метрика Кванта,Quantification Metric
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$QUANT_HEADER,SERVER,Квант,Quant
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$FORMULA_HEADER,SERVER,Формула,Formula
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$TOTAL_EXPOSURE_HEADER,SERVER,Общее Воздействие,Total Exposure
DASHBOARDS$RESIDUAL_CYBER_RISK$NAME,SERVER,Остаточный Кибер Риск,Residual Cyber Risk
DASHBOARDS$RESIDUAL_CYBER_RISK$DESCRIPTION,SERVER,Показывает пост оценку киберриска и интеграцию кибер-инструмента,Displays the cyber risk post assessment and with cyber tool integration
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$ITEM_NAME,SERVER,Остаточный Кибер Риск,Residual Cyber Risk
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$ITEM_DESCRIPTION,SERVER,Секция Остаточного Кибер Риска,Residual Cyber Risk Section
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$ITEM_NAME,SERVER,Сводка Результатов,Summary Scores
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$DATA_EXFILTRATION_EXPOSURE_HEADER,SERVER,Воздействие Эксфильтрации Данных,Data Exfiltration Exposure
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$INHERENT_RISK_HEADER,SERVER,Неотъемлемый Риск,Inherent Risk
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$ASSESSMENT_SCORE_HEADER,SERVER,Оценочное Значение,Assessment Score
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$POST_SECURITY_HEADER,SERVER,Пост Безопасность,Post Security
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$SUMMARY_SCORES$RESIDUAL_RISK_SCORE_HEADER,SERVER,Оценка Остаточного Риска,Residual Risk Score
DASHBOARDS$PRIVACY$NAME,SERVER,Риск Конфиденциальности Вендора,Vendor Privacy Risk
DASHBOARDS$PRIVACY$DESCRIPTION,SERVER,Показывает Риск для Конфиденциальности Вендора,Displays the vendor's privacy risk
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$ITEM_NAME,SERVER,Сводка Результатов,Summary Scores
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$SYSTEM_HEADER,SERVER,Система,System
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$SCORE_HEADER,SERVER,Счет,Score
